,Topic,Count,Name,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,-1,412,-1_water_impact_model_change,"('water', 0.01786705652796898)","('forest', 0.05945702065677526)","('precipitation', 0.054091398933305494)","('temperature', 0.030053110879449122)","('risk', 0.044162332655954435)","('yield', 0.05005737218878708)","('water', 0.06819032820847606)","('fishery', 0.06060391719236419)","('wine', 0.05382126018657694)","('human', 0.05085828031446598)","('model', 0.04167313735230129)","('community', 0.051977905131352475)","('ski', 0.08946512550507811)","('energy', 0.06487319567688267)","('coastal', 0.0836358484917828)","('seed', 0.05732612874301008)","('country', 0.028887268287972823)","('design', 0.06152807023652785)","('temperature', 0.09904784009939716)","('trend', 0.10729118167082115)","('municipal', 0.08410586091288905)","('water', 0.0914891026437909)","('lake', 0.1926961996960244)","('reservoir', 0.11754937041419562)","('city', 0.0944344990106471)","('fluvial', 0.04508397330666305)","('roof', 0.045176492508932554)","('option', 0.05179629050631619)","('permafrost', 0.15329401080358993)"
1,0,106,0_forest_fire_vegetation_ecosystem,"('impact', 0.012375314915844817)","('fire', 0.037054494142679764)","('extreme', 0.037050002321790204)","('disease', 0.027370140573342784)","('flood', 0.037897606852026866)","('crop', 0.04002806231188123)","('groundwater', 0.044239314806607026)","('fish', 0.03517995010004547)","('grape', 0.03833674171904452)","('nasal', 0.047130040883643955)","('streamflow', 0.034790774090696204)","('arctic', 0.039859360666402485)","('tourism', 0.08585662050684004)","('emission', 0.051337391123236584)","('shoreline', 0.03821642768312598)","('seedling', 0.05263242990543419)","('action', 0.02531901061927922)","('energy', 0.05492920096268393)","('degree', 0.07610753908148084)","('rainfall', 0.08784918562628505)","('city', 0.07567385233172554)","('stakeholder', 0.03490880005643303)","('water', 0.04200793279915231)","('rule', 0.06446942491008036)","('street', 0.05630414955279701)","('holocene', 0.041193890682110726)","('green', 0.039276420621425445)","('watershed', 0.04492777397494963)","('peatland', 0.049981991748105754)"
2,1,86,1_precipitation_extreme_model_rainfall,"('model', 0.011915276769957505)","('vegetation', 0.030851391375017547)","('model', 0.03061952727960962)","('health', 0.024937891146044694)","('disaster', 0.03292254486412091)","('wheat', 0.03143133104252713)","('river', 0.026098809824693137)","('fishing', 0.028340606835965072)","('cultivar', 0.03802859275855766)","('neandertal', 0.04053094464920875)","('runoff', 0.03120886398881052)","('indigenous', 0.03729046325946852)","('snowmaking', 0.04679340082400304)","('carbon', 0.02642618568651243)","('coastline', 0.037500015180455495)","('origin', 0.04957934751407515)","('case', 0.024325766996250883)","('building', 0.044242574569215216)","('global', 0.06176694962641587)","('station', 0.05881302936800927)","('planning', 0.054705774309856806)","('story', 0.03183606317693445)","('evaporation', 0.035485180050204776)","('hydropower', 0.053472250874073986)","('urban', 0.051658665036542435)","('glacial', 0.03304016445024765)","('pipe', 0.03853177792396934)","('streamflow', 0.04309454722704787)","('mountain', 0.037983289967413195)"
3,2,66,2_temperature_disease_health_heat,"('change', 0.010342144294162258)","('ecosystem', 0.018787198582437707)","('rainfall', 0.028350659176067525)","('heat', 0.02189332086644297)","('resilience', 0.03021948311908631)","('production', 0.02892211802238983)","('irrigation', 0.022949333965296918)","('salmon', 0.027010193229222126)","('fruit', 0.03331076104243578)","('cold', 0.029510256035642606)","('future', 0.026908376240130413)","('knowledge', 0.03649917173394958)","('snow', 0.04631964158812048)","('aviation', 0.025353490183511757)","('sea', 0.03455057560955469)","('strain', 0.038110183464523925)","('finance', 0.024007286927497953)","('house', 0.03580740132302962)","('agreement', 0.0611369558101421)","('test', 0.045676487930026356)","('municipality', 0.042803535116870406)","('policy', 0.03035648003815892)","('change', 0.03416227176511285)","('power', 0.042130990347146346)","('green', 0.03918853547633869)","('similar', 0.03218093902800375)","('infiltration', 0.0343880816068691)","('dam', 0.04055237871259606)","('stream', 0.031990054761439485)"
4,3,61,3_risk_flood_disaster_resilience,"('increase', 0.0102492331220781)","('tree', 0.017313154251903138)","('future', 0.021168643574841224)","('exposure', 0.021189964440889903)","('vulnerability', 0.018463369596758074)","('maize', 0.026857226187959986)","('scenario', 0.021711662983900735)","('reef', 0.02405042426565279)","('chill', 0.027589563070289033)","('modern', 0.027723016631435553)","('hydrological', 0.025895672327332035)","('inuit', 0.03508108455859254)","('resort', 0.04501915276113148)","('policy', 0.023637249954524698)","('coast', 0.029043019729429697)","('cessation', 0.038110183464523925)","('project', 0.022620933485602124)","('electricity', 0.035787847437854604)","('paris', 0.053871574783185563)","('mann', 0.03504191356105585)","('action', 0.04275114032259114)","('drought', 0.029526144785389886)","('level', 0.03293880733768481)","('model', 0.03751569826488447)","('construction', 0.03775749329536052)","('glacier', 0.03055057958365604)","('drinking', 0.03217033962905844)","('scenario', 0.03536439353647798)","('qtp', 0.03174103527037419)"
5,4,61,4_yield_crop_wheat_production,"('temperature', 0.00950287928263582)","('carbon', 0.01675173049823144)","('ensemble', 0.020175306621017963)","('population', 0.020640230924500923)","('event', 0.016431723916721066)","('system', 0.026266823748911667)","('basin', 0.020565873937259452)","('marine', 0.022227652474861463)","('variety', 0.02421956708395962)","('body', 0.024914549251862098)","('scenario', 0.02482995550642535)","('people', 0.02583519409002581)","('tourist', 0.030561741663557327)","('sector', 0.021300022692433425)","('erosion', 0.02677795506363777)","('population', 0.036356794886295674)","('support', 0.02075261690288341)","('urban', 0.032347624215253966)","('expectation', 0.05307429145210131)","('annual', 0.033307305204353224)","('plan', 0.03243202362603297)","('governance', 0.028826474197701454)","('poyang', 0.027564357465741197)","('period', 0.03287479933243957)","('service', 0.034017346884689666)","('ice', 0.027839678378554656)","('discharge', 0.030112562432418815)","('baseflow', 0.034350700400748786)","('hazard', 0.03149808897298765)"
6,5,54,5_water_groundwater_river_irrigation,"('result', 0.009398561152892771)","('management', 0.015696485370802263)","('mean', 0.01809362531941543)","('mortality', 0.020305294993738596)","('community', 0.015579659056742029)","('grain', 0.02582472995074891)","('supply', 0.01944770716052115)","('management', 0.021395377836098434)","('region', 0.022587686668981626)","('sample', 0.024159479149905613)","('precipitation', 0.023872904584851022)","('polar', 0.022450129356880826)","('destination', 0.029011192316863627)","('growth', 0.02124764080175849)","('level', 0.023750603903584605)","('birch', 0.03352051096407384)","('policy', 0.02049319854818795)","('consumption', 0.03032601273220014)","('warming', 0.04733245273241172)","('temperature', 0.030641146654312428)","('para', 0.025945929356052652)","('management', 0.02690088767097292)","('qinghai', 0.025249913212841566)","('future', 0.031050037420852147)","('ecosystem', 0.030484367743896717)","('system', 0.02724547321526586)","('sewer', 0.029525723039593665)","('stormwater', 0.032146409664531854)","('temperature', 0.030884033792425884)"
7,6,50,6_fishery_fish_fishing_salmon,"('policy', 0.009379151496203057)","('area', 0.01433742336396873)","('bias', 0.01744540063757197)","('thermal', 0.01773249475688733)","('assessment', 0.015380069894874405)","('rice', 0.022756674788373673)","('resource', 0.01891966187900231)","('aquaculture', 0.020881140272683965)","('apple', 0.02019027121157651)","('fossil', 0.023581666319323326)","('swat', 0.02322709016629116)","('cultural', 0.01928623934167293)","('winter', 0.026806765386774085)","('country', 0.020579463686356582)","('beach', 0.02272866823917157)","('growth', 0.03330227876504572)","('learning', 0.020270633822965442)","('mosque', 0.029049246475327015)","('surface', 0.04104886421079995)","('precipitation', 0.02920832795881697)","('local', 0.024936997045114564)","('bangladesh', 0.023981562192615317)","('yangtze', 0.02496474769062792)","('operation', 0.029644943921696008)","('chemistry', 0.02983209888276864)","('ism', 0.02618596813991427)","('water', 0.029163350097861574)","('shipping', 0.031222352083015638)","('labrador', 0.03042689077725586)"
8,7,38,7_wine_grape_cultivar_fruit,"('future', 0.009223322262194493)","('ndvi', 0.013980129352779097)","('projection', 0.016161205154532208)","('dengue', 0.01747519278357462)","('landslide', 0.015280335542707663)","('soc', 0.01979918413737847)","('use', 0.01719424148065261)","('catch', 0.018269800683280223)","('acid', 0.020011971551149702)","('shape', 0.023457033515929353)","('catchment', 0.023163185867990214)","('heritage', 0.019080739006861965)","('strategy', 0.02414986473098391)","('economic', 0.02044378606276484)","('compartment', 0.022413315819729912)","('degree', 0.031157513028603864)","('aid', 0.02010980527580382)","('climatic', 0.023704271581320636)","('support', 0.03495980120677138)","('kendall', 0.02847155476835788)","('polish', 0.024486554933256032)","('local', 0.02317219281537237)","('chad', 0.021566151359259936)","('management', 0.027006440481341088)","('spend', 0.02605324242111907)","('river', 0.026042286823537868)","('ead', 0.027725857706212345)","('combined', 0.0277036375031022)","('himalaya', 0.02560842701839733)"
9,8,35,8_human_nasal_neandertal_cold,"('data', 0.009121288563172462)","('land', 0.013688589412929294)","('change', 0.015877202179642193)","('hospital', 0.016911476887330277)","('approach', 0.013915415821477635)","('food', 0.019341794986878894)","('demand', 0.017059509122195424)","('coral', 0.01583508852310937)","('chilling', 0.01943382841604226)","('variation', 0.023431086601786746)","('uncertainty', 0.02177544689844865)","('impact', 0.018302365509745094)","('industry', 0.022717674746251252)","('fuel', 0.01921210302618448)","('rise', 0.022196100423415004)","('photoperiodic', 0.030930859089199913)","('sector', 0.019932475061344913)","('demand', 0.0235439979323625)","('average', 0.033830345726968906)","('monthly', 0.028108607956939296)","('interview', 0.023270470662937203)","('csr', 0.021542799345543255)","('dam', 0.0201073759246179)","('dam', 0.02660069581557105)","('category', 0.024837062232979126)","('middle', 0.02487535436316653)","('cam', 0.027725857706212345)","('beaver', 0.027003557033763757)","('area', 0.025392080891460035)"
10,9,34,9_model_streamflow_runoff_future,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,10,33,10_community_arctic_indigenous_knowledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,11,31,11_ski_tourism_snowmaking_snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,12,27,12_energy_emission_carbon_aviation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,13,25,13_coastal_shoreline_coastline_sea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,14,23,14_seed_seedling_origin_strain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,15,21,15_country_action_case_finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,16,20,16_design_energy_building_house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,17,19,17_temperature_degree_global_agreement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,18,19,18_trend_rainfall_station_test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,19,17,19_municipal_city_planning_municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,20,15,20_water_stakeholder_story_policy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,21,14,21_lake_water_evaporation_change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,22,13,22_reservoir_rule_hydropower_power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,23,13,23_city_street_urban_green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,24,12,24_fluvial_holocene_glacial_similar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,25,11,25_roof_green_pipe_infiltration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,26,10,26_option_watershed_streamflow_dam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,27,10,27_permafrost_peatland_mountain_stream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
